
2025/02/21 (17:20:49) | ===> btop++ v.1.4.0
2025/02/21 (17:20:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (17:34:22) | ===> btop++ v.1.4.0
2025/02/21 (17:34:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (21:48:23) | ===> btop++ v.1.4.0
2025/02/21 (21:48:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (21:48:33) | ===> btop++ v.1.4.0
2025/02/21 (21:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (00:06:57) | ===> btop++ v.1.4.0
2025/02/22 (00:06:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (11:51:54) | ===> btop++ v.1.4.0
2025/02/25 (11:51:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (11:55:10) | ===> btop++ v.1.4.0
2025/02/25 (11:55:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (12:19:48) | ===> btop++ v.1.4.0
2025/02/25 (12:19:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (13:52:15) | ===> btop++ v.1.4.0
2025/02/25 (13:52:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:29:19) | ===> btop++ v.1.4.0
2025/02/25 (15:29:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (16:59:04) | ===> btop++ v.1.4.0
2025/02/25 (16:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:00:10) | ===> btop++ v.1.4.0
2025/02/25 (17:00:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (14:51:54) | ===> btop++ v.1.4.0
2025/02/26 (14:51:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (17:30:50) | ===> btop++ v.1.4.0
2025/02/26 (17:30:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (15:03:46) | ===> btop++ v.1.4.0
2025/02/27 (15:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (23:02:15) | ===> btop++ v.1.4.0
2025/02/27 (23:02:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (23:13:34) | ===> btop++ v.1.4.0
2025/02/27 (23:13:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (23:40:31) | ===> btop++ v.1.4.0
2025/02/27 (23:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:57:24) | ===> btop++ v.1.4.0
2025/03/02 (14:57:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (17:00:08) | ===> btop++ v.1.4.0
2025/03/02 (17:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (17:03:26) | ===> btop++ v.1.4.0
2025/03/02 (17:03:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (19:52:22) | ===> btop++ v.1.4.0
2025/03/02 (19:52:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:28:58) | ===> btop++ v.1.4.0
2025/03/02 (22:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:52:19) | ===> btop++ v.1.4.0
2025/03/02 (23:52:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:54:20) | ===> btop++ v.1.4.0
2025/03/02 (23:54:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (00:28:30) | ===> btop++ v.1.4.0
2025/03/03 (00:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:32:31) | ===> btop++ v.1.4.0
2025/03/04 (19:32:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:39:02) | ===> btop++ v.1.4.0
2025/03/04 (19:39:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (17:06:09) | ===> btop++ v.1.4.0
2025/03/08 (17:06:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (19:22:36) | ===> btop++ v.1.4.0
2025/03/08 (19:22:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (19:22:40) | ===> btop++ v.1.4.0
2025/03/08 (19:22:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (16:55:43) | ===> btop++ v.1.4.0
2025/03/10 (16:55:43) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/10 (16:55:53) | ===> btop++ v.1.4.0
2025/03/10 (16:55:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (15:33:51) | ===> btop++ v.1.4.0
2025/03/11 (15:33:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (17:45:08) | ===> btop++ v.1.4.0
2025/03/11 (17:45:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (17:45:49) | ===> btop++ v.1.4.0
2025/03/11 (17:45:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (11:20:01) | ===> btop++ v.1.4.0
2025/03/12 (11:20:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (16:47:12) | ===> btop++ v.1.4.0
2025/03/12 (16:47:12) | WARNING: Intel GPU: Failed to initialize PMU
